corp_code,corp_name,stock_code,start_date,end_date,filings,processed_filings,skipped_filings,match_count,matched_filing_count,total_count,has_backlog_keyword,has_backlog_total,latest_total_period,latest_total_eok,status
00249982,솔본,035610,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
01489648,솔브레인,357780,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00247975,솔브레인홀딩스,036830,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00267669,솔빛미디어,044440,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
01022054,솔트웍스,222520,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00134963,송원산업,004430,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00303794,쇼박스,086980,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00577016,수산아이앤티,050960,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00243979,수성웹툰,084180,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
01063954,수젠텍,253840,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00350224,슈마일렉트론,056500,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00599957,슈프리마에이치큐,094840,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00917861,슈피겐코리아,192440,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00147949,스마텔,004190,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00763358,스마트솔루션즈,136510,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00136554,스타맥스,017050,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
01035289,스타에스엠리츠,204210,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00405959,스타플렉스,115570,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00970277,스탠다드펌,179280,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00543204,스테이지원엔터,078860,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
01305249,스톤브릿지벤처스,330730,20250408,20260408,1,0,1,0,0,0,False,False,,,no_backlog_signal
00264796,스톰이앤에프,043680,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
01168684,스튜디오드래곤,253450,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
01139965,스튜디오미르,408900,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
01046203,스튜디오산타클로스엔터테인먼트,204630,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
01540815,스튜디오삼익,415380,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00280688,스튜디오에스,046140,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00117498,스틱인베스트먼트,026890,20250408,20260408,1,0,1,0,0,0,False,False,,,no_backlog_signal
00454265,스틸플라워,087220,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00664288,스페이스솔루션,245030,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00136165,스페코,013810,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00298687,스포츠서울,039670,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00158219,시그네틱스,033170,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
01115257,시냅스엠,246830,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00261212,시노펙스그린테크,037320,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00481223,시노펙스멤브레인,079560,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00852087,시디즈,134790,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
01284751,시지트로닉스,429270,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00300256,시큐어소프트,037060,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
01384787,시프트업,462870,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00135670,신광기업,001580,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00135777,신대양제지,016590,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00115427,신동방CP,004660,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00135962,신라교역,004970,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00135999,신라섬유,001000,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00136004,신라에스지,025870,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00919966,신라젠,215600,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00136226,신성델타테크,065350,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00686147,신성에프에이,104120,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00686068,신성이엔지,104110,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00136378,신세계,004170,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00234412,신세계인터내셔날,031430,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00132488,신세계톰보이,012580,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00274933,신세계푸드,031440,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00136402,신송홀딩스,006880,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00136448,신신제약,002800,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00317830,신양오라컴디스플레이,086830,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
01796858,신영스팩10호,472220,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
01945339,신영스팩11호,000910,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00136624,신영와코루,005800,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00136721,신영증권,001720,20250408,20260408,1,0,1,0,0,0,False,False,,,no_backlog_signal
01419986,신영해피투모로우제6호기업인수목적,344050,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
01612608,신영해피투모로우제7호기업인수목적,419270,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
01656374,신영해피투모로우제8호기업인수목적,430220,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
01689938,신영해피투모로우제9호기업인수목적,445970,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00136925,신원종합개발,017000,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00136970,신일건업,014350,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00173698,신일전자,002700,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00137058,신일제약,012790,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00477372,신지소프트,078700,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00577380,신진에스엠,138070,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00599887,신텍,099660,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00137368,신풍,002870,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00137359,신풍제약,019170,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00267720,신한SIT,054530,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
01714997,신한글로벌액티브리츠,481850,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
01436558,신한서부티엔디리츠,404990,20250408,20260408,1,0,1,0,0,0,False,False,,,no_backlog_signal
01276594,신한알파리츠,293940,20250408,20260408,1,0,1,0,0,0,False,False,,,no_backlog_signal
00149293,신한은행,000010,20250408,20260408,1,0,1,0,0,0,False,False,,,no_backlog_signal
01616482,신한제10호기업인수목적,418210,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
01719105,신한제11호스팩,452980,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
01809569,신한제12호스팩,474660,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
01807747,신한제13호스팩,474930,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
01853214,신한제14호스팩,487360,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
01854408,신한제15호스팩,487830,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
01875146,신한제16호스팩,496070,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
01963520,신한제17호스팩,001300,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
01179839,신한제3호기업인수목적,257730,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
01243772,신한제4호기업인수목적,277480,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
01514528,신한제7호기업인수목적,366330,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
01574760,신한제8호기업인수목적,393360,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
01594764,신한제9호기업인수목적,405640,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00382199,신한지주,055550,20250408,20260408,1,0,1,0,0,0,False,False,,,no_backlog_signal
00307897,신한카드,032710,20250408,20260408,1,0,1,0,0,0,False,False,,,no_backlog_signal
00138321,신한투자증권,008670,20250408,20260408,1,0,1,0,0,0,False,False,,,no_backlog_signal
00228350,신화인터텍,056700,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00173795,신흥,004080,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00807379,신흥에스이씨,243840,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00982023,실리콘투,257720,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00525527,실리콘화일,082930,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00163789,심팩메탈,090730,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00123648,심팩인더스트리,005350,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00659161,싸이맥스,160980,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
01293953,싸이버원,356890,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
01046391,싸이토젠,217330,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00225140,쌈지,033260,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00681142,쌍방울,102280,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00138206,쌍용건설,012650,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00138224,쌍용씨앤이,003410,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00138057,써니전자,004770,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00255309,써니트렌드,035500,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00275710,써미트테크놀로지,039000,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00202778,썬코어,051170,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00963000,썬테크,217320,20250408,20260408,1,0,1,0,0,0,False,False,,,no_backlog_signal
00527880,썬테크놀로지스,122800,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
01049422,썸에이지,208640,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00239596,쎄니트,037760,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00138376,쎄라텍,041550,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00357430,쎌바이오텍,049960,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
01026157,쏘카,403550,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00268020,쏠라엔텍,030390,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00223346,쓰리디넷,035400,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00388272,쓰리디월드,065340,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00260903,쓰리소프트,036360,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00255266,쓰리알,037730,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00870065,쓰리에이로직스,177900,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00232496,씨그널엔터테인먼트그룹,099830,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00493501,씨디네트웍스,073710,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00247939,씨모스,037600,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00582054,씨모텍,081090,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00492706,씨싸이트,109670,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00249441,씨씨에스,066790,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00822572,씨아이에스,144630,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00127158,씨아이테크,004920,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00134060,씨앤상선,000790,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
01226410,씨앤씨인터내셔널,352480,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00173731,씨앤에스자산관리,032040,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00149266,씨앤에이치,023460,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00150226,씨앤중공업,008400,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00252755,씨앤케이인터내셔널,039530,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00875237,씨앤투스,352700,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00800084,씨엑스아이,900120,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00234555,씨엔씨엔터프라이즈,038420,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
01114559,씨엔티드림,286000,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00259493,씨엘엘씨디,035710,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
00914040,씨엠에스에듀,225330,20250408,20260408,0,0,0,0,0,0,False,False,,,no_regular_filings
01529982,씨엠티엑스,388210,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
00681249,씨유메디칼,115480,20250408,20260408,1,1,0,0,0,0,False,False,,,no_backlog_signal
